,Timestamp,Product Name,Seller,Price
46,2024-12-26 13:17:52,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,1349.0
47,2024-12-26 13:17:59,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1098.0
48,2024-12-26 13:18:06,Non trouvé,E.Leclerc,969.0
49,2024-12-26 13:18:12,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,1582.6
50,2024-12-26 13:18:18,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1240.0
51,2024-12-26 13:18:25,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,1119.0
52,2024-12-26 13:18:31,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,1859.0
53,2024-12-26 13:18:44,Smartphone Apple iPhone 15 256GB noir,E.Leclerc,999.0
54,2024-12-26 13:18:51,Smartphone Apple iPhone 15 128GB noir,E.Leclerc,869.0
55,2024-12-26 13:18:57,"Apple iPhone 14 15,5 cm (6.1"") Double SIM iOS 17 5G 512 Go Noir",E.Leclerc,1266.17
56,2024-12-26 13:19:04,Smartphone Apple iPhone 14 256Go Noir Midnight,E.Leclerc,837.96
57,2024-12-26 13:49:11,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,1349.0
58,2024-12-26 13:49:17,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1098.0
59,2024-12-26 13:49:24,Non trouvé,E.Leclerc,969.0
60,2024-12-26 13:49:30,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,1582.6
61,2024-12-26 13:49:37,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1240.0
62,2024-12-26 13:49:44,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,1119.0
63,2024-12-26 13:49:50,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,1859.0
64,2024-12-26 13:50:03,Smartphone Apple iPhone 15 256GB noir,E.Leclerc,999.0
65,2024-12-26 13:50:04,Smartphone Apple iPhone 15 256GB noir,GPASPLUS,1096.66
66,2024-12-26 13:50:11,Smartphone Apple iPhone 15 128GB noir,E.Leclerc,869.0
